sale_price_sqr_foot,housing_units,gross_rent
369.34435332942974,372560.0,1239.0
341.9034291801058,374507.0,1530.0
399.3899684488192,376454.0,2324.0
483.6003042611177,378401.0,2971.0
556.2772734475082,380348.0,3528.0
632.5403520321692,382295.0,3739.0
697.643709116537,384242.0,4390.0
